License plate,Frame no.,Timestamp(seconds)
XS-NB-23, 0, 0
98-THD-4, 37, 3.0833333333333335
23-GSX-6, 85, 7.083333333333333
72-VGX-6, 121, 10.083333333333334
99-SZG-5, 145, 12.083333333333334
14-NJK-9, 205, 17.083333333333332
24-LB-HT, 217, 18.083333333333332
96-LKH-9, 361, 30.083333333333332
56-JTT-5, 397, 33.083333333333336
88-BB-TS, 433, 36.083333333333336
56-JTT-5, 469, 39.083333333333336
ZD-PB-67, 505, 42.083333333333336
02-BBG-7, 577, 48.083333333333336
93-PXS-9, 661, 55.083333333333336
43-HNN-2, 721, 60.083333333333336
43-JS-RT, 757, 63.083333333333336
63-HK-HD, 805, 67.08333333333333
92-LHR-6, 829, 69.08333333333333
63-HK-HD, 877, 73.08333333333333
01-XJ-ND, 937, 78.08333333333333
96-ND-JB, 985, 82.08333333333333
57-LF-JB, 1021, 85.08333333333333
VD-020-P, 1045, 87.08333333333333
5-SXB-74, 1093, 91.08333333333333
23-GSR-5, 1153, 96.08333333333333
27-LH-TB, 1201, 100.08333333333333
XH-PN-44, 1261, 105.08333333333333
01-RHD-6, 1297, 108.08333333333333
64-LJ-GF, 1393, 116.08333333333333
41-GFZ-8, 1429, 119.08333333333333
28-PXT-9, 1477, 123.08333333333333
